,nroV,idF,País,Día,Mes,Año,Medio,Título,Comentario
164,165,165,Argentina,26,Noviembre,2023,La Nación,Javier Milei asistió a una ceremonia judía y recibió la bendición de un reconocido rabino,Creo que Israel logro encontrar un nuevo hogar a corto plazo en nuestro país....después de palestina
40,41,41,Chile,5,Enero,2024,Biobio,"
Vicepresidente de ONG judío-argentina desata polémica al decir que ""no hay civiles inocentes en Gaz","Si de este fanático dependiera ingresaría a todos los palestinos en campos de concentración, con las correspondientes cámaras de gases y hornos para incinerar. Israel aprendió de Hitler en cuanto a racismo, genocidio y limpiezas étnicas."
260,261,329,Costa Rica,22,Marzo,2022,Diario Extra,ONU adopta resolución contra la  negación del holocausto judío,Los israelíes les están recetando la misma sopa que les dieron a ellos a los palestinos pero no quieren que los comparen. Comunidad internacional = HIPOCRITAS.
223,224,230,Chile,5,Noviembre,2023,Biobio,"
Ministro de Israel afirma que una bomba atómica sobre Gaza podría ser una opción
","La mentalidad de estos  es ""el odio del judío contra sí mismo"". Libro ""La mentalidad Judia"" Raphael Patai.  Entonces que van a querer al resto, si se odian ellos mismos. El demonio los sometió a su antojo."
6,7,7,Chile,12,Mayo,2021,Emol,"Tensión en Medio Oriente: Putin llama a la ""desescalada"" y Erdogan aboga por dar una ""lecci&o"," Me imagino que todos los camellos acá están con tragedia jajaja. No soy partidario de los avaros judios tampoco pero la lucha contra grupos terroristas debe ser sin tregua. Mientras tanto perrdogán puede ladrar todo lo que quiera porque literalmente nadie lo pesca y carece de poder para hacer algo, recordemos que hasta los kurdos se le fueron en collera jajajaja. Sigan rezándole al sobaco (ala) para que los proteja alcahuetes degenerados"
14,15,15,Argentina,20,Octubre,2023,Clarín,Guerra en Gaza: los judíos en Europa tienen miedo y Alemania teme un estallido violento,6.000.000 los contaron bien? Justo da un número redondo.
248,249,301,Argentina,3,Junio,2021,Clarín,¿Fueron justas mis críticas a Israel?,"Sin embargo a Thatcher le ocuparon las Malvinas, y trajo todo para reconquistarlas....."
10,11,11,Chile,20,Mayo,2021,Emol,En espera de la tregua: Las ineficaces gestiones de la comunidad internacional para detener el confl," La sed de sangre de los judíos no se aplaca fácilmente, En las crónicas del antiguo testamento exterminaban pueblos enteros. Bajo ocupación Romana los judíos se alzaron en armas venciendo a los destacamentos romanos en palestina y Jerusalén pero también cometieron actos atroces en contra de poblaciones griegas, sirias, solo el general romano Tito con sus legiones pudo detener la masacre"
20,21,21,Colombia,27,Septiembre,2022,El Tiempo,Gabriela Wiener naciÃ³ en Lima (PerÃº) en 1975.,"El etnomarxismo antihispánico fue traido a América por gente como esta vieja, descendientes recientes de europeos del norte perseguidos, perseguidores o traumatizados por las 2 guerras. "
19,20,20,Argentina,21,Mayo,2021,La Nación,El “Metro”: cómo es la red subterránea de túneles de Hamas apuntada por Israel,Inglaterra es la maxima culpable de que Israel haya sido fundada en tierras Palestinas 1948
171,172,172,Chile,28,Mayo,2024,Biobio,"
Israel dice que incendio que dejó 45 muertos en Rafah fue provocado por explosión de munición de Ha",¡Cuánta falta hace Hitler!.
339,340,3052,Costa Rica,26,Octubre,2022,CR Hoy,Skechers rechaza reunirse con Kanye West para crear línea de calzado,Lapidado social por no estar alineado en un mundo de pensamiento libre.
134,135,135,Panamá,11,Junio,2023,La Estrella,Rescatando las raíces de la comunidad judía en Panamá,Ojo al parche que es de plata.A los marranos ladinos no se les puede dejar de vigilar
314,315,1226,Panamá,6,Diciembre,2021,La Estrella,La deriva mental de Gaza conduce a cada vez más jóvenes al suicidio,Pero no ha dicho una sola palabara de la pandemia de sucidios que hay y aun mas le monton de veteranos y soldados activists gringos suicidandose.
81,82,82,Costa Rica,13,Mayo,2022,CR Hoy,Damas Israelitas realizarán venta de ropa para ayudar a niños con cáncer,Quieren hacer cambios en el mundo...?? Que los sionistas dejen de usurpar territorios palestinos... Y que los judíos dejen de apoyar el sionismo... Por ahí podrían comenzar...
5,6,6,Argentina,18,Junio,2023,La Nación,"La conflictiva historia del Altalena, el barco que casi termina con el recién nacido Estado de Israe",">> uno de los episodios más controvertidos de la naciente historia de Israel
Ya el nacimiento de Israel es controvertido."
342,343,3173,Panamá,4,Mayo,2022,La Estrella,Boda con temática nazi en México desata polémica internacional,"No son, por lo menos, tan descarados como los ucranios que financian, pertrechan, entrenan y hasta tienen como unidades de su milicia nacional."
348,349,3592,Panamá,19,Octubre,2023,La Estrella,"El conflicto infinito (I): Israel, la única nación judía",Pasa que ambos lados reclaman la misma tierra por razones religiosas. No hay que ser un genio para saber que esa pelea seguira por secula seculorum.
292,293,437,Uruguay,12,Marzo,2024,Montevideo,"Matyszczyk tras cruce con Petinatti: “Nunca fui, ni cerca, antisemita; todo lo contrario”","Petinatti, como muchos judíos, está todo el tiempo a la defensiva con el tema judío, cualquier persona que ose siquiera señalar mínimamente alguna discrepancia o tan solo una influencia, ya lo tildan de antisemita y de fomentar el odio.  ¿Por qué están tan sensibles? Creo que varios tienen la conciencia sucia... me parece."
206,207,207,Chile,10,Mayo,2021,Biobio,"
    Reportan 20 muertos por bombardeos de represalia desde Israel contra Gaza: nueve serían niños
","Desde el principio Israel siempre ha sido un completo error.
La crisis total del mundo occidental no es una coincidencia, es el resultado de dejar proliferar a ese Estado detrás de las ideologías sionistas, globalistas progresistas que sólo han traído destrucción, incluyendo a nuestro país. Para ocultar la verdad ocupan sus comodines ""negacionismo"" y las leyes mordazas que coartan la libertad de expresión, esa diversidad de opiniones que no les conviene en este caso."
160,161,161,Uruguay,23,Noviembre,2023,Montevideo,Drexler: “Un espanto como el de Hamás no se soluciona con 5.500 niños palestinos muertos”,"Con padre judío Drexler no es ni siquiera judío, Pero hay judíos que no creen ni en el estado de Israel, que piensan que su pueblo debe esperar al mesías como estaban sin país, por sus pecados, etc. Judíos hay de toda opinión. Sólo que el sionismo tiene ""la palabra"" hoy  como se vio con Waters quiere imponer la mordaza a todo lo que no sea propaganda sionista y pro el ultra derechista Netanyahu, un corrupto lleno de juicios y negociados, que si no tuviera fueros ya estaba en cana con toda su camarilla corrupta.  Negocia, pese a que había dicho que no, porque lo presionan los parientes de judíos que marcharon días enteros reclamando que el INUTIL resuelva el tema desaparecidos, y que haga el intercambio con presos. Se pudo hacer el primer día."
93,94,94,Chile,24,Febrero,2024,Emol,Israel examina propuestas para avanzar hacia una tregua en Gaza y liberar rehenes en manos de Ham&aa, La Corte Internacional de La Haya dice que Israel debe devolver los territorios que ha ocupado Twitter link  
207,208,208,Chile,23,Enero,2024,Biobio,"
Israel plantea a la UE crear una isla artificial frente a Gaza bajo control judío
",Los judíos asesinos tratando de construir una isla artificial en territorio que no les corresponde.
343,344,3218,Argentina,19,Noviembre,2022,La Nación,"Israel, un polo disruptivo para la tecnología del agro",Ricas las galletas
231,232,248,Argentina,2,Mayo,2022,Clarín,Furia en Israel luego de que el canciller ruso afirmara que Hitler “también tenía sangre judía”,Zelenski es un comediante Juif que se hizo famoso tocando el piano con la perinola. Dejense de jorobar con los Nazis. Ni los Rusos se la creen.
154,155,155,Uruguay,16,Noviembre,2023,Montevideo,"“Que se dedique a cantar y no a hacer otras cosas”, dijo embajadora israelí sobre Waters","La judia esta quiere que no se sepa del Genocídio en Gaza.....espero que los judios sean juzgados como fueron los nazis por los crimenes cometidos,que no queden impunes."
321,322,1588,Chile,1,Julio,2021,Biobio,"
    Israel registra más de 300 casos diarios de covid-19 por primera vez desde abril
",Bah ¿y cómo dijeron que la vacuna pzifer era tan buena?
327,328,2170,Colombia,14,Mayo,2022,Dos Orillas,¿Es verdad que Fidel Castaño vive feliz en Israel?,La basura es dura de eliminar pero ya los gusanos tarde que temprano harán su trabajo
4,5,5,Uruguay,21,Septiembre,2021,El País,Lacalle Pou marca posición en el mundo: más cerca de Israel; lejos de Cuba y Venezuela,más fascista y racista que el estado de Israel
99,100,100,Argentina,4,Enero,2022,Clarín,Covid: un estudio hecho en Israel revela que la cuarta dosis de Pfizer quintuplica los anticuerpos,"Que la funcionaria que en verano se viste con mangas largas y usa vestimenta negra, no sabe que el negro da más calor y en verano se usa ropa liviana y en lo posible sin mangas! Semejante ignorante se va a preocupar por vacunar con la cuarta dosis de Pfizer?"
128,129,129,Chile,30,Abril,2021,Emol,Tragedia en Israel: Cuáles han sido las estampidas más letales de los últimos d," sionistas bastardos! ta bien si, todos los pecados se devuelven... fuerza Palestina!!!"
89,90,90,Chile,20,Mayo,2021,Emol,"Biden valora intermediación de Egipto en alto al fuego en Gaza y dice que es una ""oportunidad", La estrategia de Biden de hacer todo en secreto no funciona a largo plazo. Por primera vez en la historia un senador introduce medidas en contra de Israel y en la cámara ya hay una bancada Pro-Palestina.
279,280,394,Chile,7,Junio,2024,Emol,ONU incluye por primera vez a Israel en lista de países que violan los derechos de niñ, IsraHell es un estado g3nocida que cada día se está quedando más solo.
323,324,1745,Panamá,2,Enero,2022,La Estrella,"Israel detecta el primer caso de ""flurona"", una infección de coronavirus y gripe a la vez",Tenias razon! Es el year de los pajarracos. Voy a copiar este posteo de referencia. No queda duda que ta te lo quieres comer. Pato de vergaaa
143,144,144,Uruguay,26,Febrero,2024,Montevideo,EE. UU: soldado se quema ante embajada israelí en protesta por los ataques en Gaza,que huevos!!!y el estupido que lo apunta con la pistola en vez de hacer algo para salvarlo?????? es a ese que hay que prender fuego!como sera la mentira y manipulacion de eua e israel para tener que llegar a esto!
262,263,334,Uruguay,27,Enero,2022,Montevideo,"Canciller Bustillo:  “Las víctimas del Holocausto florecen en el recuerdo""","Siguen Jodiendo Todavia con los Judíos de Mi........ er... da...??? Ya Fue la Guerra,  ya Murió el Tío Adolfo,  que Necesidad de Seguir Rompiendo los Hue.. vos????"
2,3,3,Uruguay,1,Enero,2022,Montevideo,Israel detecta el primer caso de flurona: gripe más covid,"Aaaaa paraaaaa dejen de inventar nombres nuevos que causan pánico, tiene covid y gripe, ya está, después tenés gente diciendo ganzadas, si tiene covid y diarrea que es? Garcavid?"
243,244,293,Chile,11,Octubre,2023,Emol,"Conflicto en Medio Oriente: Netanyahu y líder de la oposición forman gobierno ""de emer"," Medios de prensa en manos de Israelitas hacer creer todo lo que divulgan, siempre victimas, las excusas perfectas para continuar con el genocidio contra los Palestinos, barreran con Gaza con o sin rehenes, finalmente se quedaran con la franja.....dos gobiernos independendientes la mayoria de paises lo pide pero se niega Israel y USA...."
182,183,183,Panamá,27,Enero,2022,La Estrella,Voz de superviviente resuena en Berlín para conmemorar muertos del Holocausto,En la segunda guerra mundial murieron casi 100 millones de personas no solamente 6 millones de judios
191,192,192,Chile,12,Mayo,2021,Emol,"Tensión en Medio Oriente: Putin llama a la ""desescalada"" y Erdogan aboga por dar una ""lecci&o"," Palestina reporta 13 niños muertos tras bombardeos israelíes en Gaza Publicado: Miércoles, 12 de Mayo de 2021 a las 08:44hrs. | Periodista Digital: EFE Los fallecidos ya son más de cuarenta, en la réplica a los ataques realizados por Hamás hacia Tel Aviv."
193,194,194,Panamá,14,Julio,2021,La Estrella,Avanza vacunación anticovid para mayores de 12 años con enfermedades crónicas,Podran estos padres con el cargo de conciencia en un futuro?
202,203,203,Chile,5,Agosto,2023,Emol,Agente israelí fallece en Tel Aviv tras ataque armado de un palestino: El agresor fue abatido, Un lunatico religioso menos tomandose tierras a la fuerza en nombre de su religion. Bien muerto el israeli
